date,member,match,rule,1st_name,1st_score,2nd_name,2nd_score,3rd_name,3rd_score,4th_name,4th_score
2025/11/9,Uni_n,2,"10,30,0",Hamada,64,Hirabara,16,Fukushima,-14,Kozu,-66
2025/11/9,Uni_n,3,"10,30,0",Hamada,71,Kozu,14,Fukushima,-22,Hirabara,-63
2025/11/9,Uni_n,4,"10,30,0",Kozu,61,Hirabara,15,Fukushima,-27,Hamada,-49
2025/11/9,Uni_n,5,"10,30,0",Fukushima,70,Hirabara,5,Kozu,-26,Hamada,-49
2025/11/9,Uni_n,6,"10,30,0",Fukushima,62,Hamada,13,Hirabara,-22,Kozu,-53
2025/11/28,Uni_n,1,"10,30,0",Hirabara,57,Hasegawa,8,Kozu,-21,Hamada,-44
2025/11/28,Uni_n,2,"10,30,0",Kozu,61,Hamada,14,Hasegawa,-10,Hirabara,-65
2025/11/28,Uni_n,3,"10,30,0",Hamada,57,Hirabara,8,Kozu,-16,Hasegawa,-49
2025/11/28,Uni_n,4,"10,30,0",Hamada,52,Kozu,12,Hasegawa,-18,Hirabara,-46
2025/12/12,Yar,1,"10,30,5",Hamada,53,Furuhata,9,Yazima,-21,Miura,-41
2025/12/12,Yar,2,"10,30,5",Miura,65,Suzuki,9,hamada,-24,Yazima,-50
2025/12/12,Yar,3,"10,30,5",Suzuki,86,Hamada,9,Furuhata,-24,Yazima,-71
2025/12/13,Com_y,1,"5,10,10",Takahashi,48,Tanaka,5,Hamada,-6,Shioya,-47
2025/12/13,Com_y,2,"5,10,10",Tanaka,45,Takahashi,7,Hamada,-21,Shioya,-31
2025/12/13,Com_y,3,"5,10,10",Takahashi,51,Tanaka,8,Hamada,-12,Shioya,-47
2025/12/13,Com_y,4,"5,10,10",Takahashi,48,Tanaka,9,Hamada,-6,Shioya,-51
2025/12/13,Com_y,5,"5,10,10",Hamada,45,Takahashi,10,Shioya,-5,Tanaka,-50
2025/12/13,Com_y,6,"5,10,10",Hamada,79,Tanaka,-12,Takahashi,-29,Shioya,-38
2025/12/14,Yar,1,"10,30,5",Furuhata,65,Hamada,6,Miura,-17,Yazima,-54
2025/12/14,Yar,2,"10,30,5",Hamada,66,Furuhata,18,Yazima,-31,Miura,-53
2025/12/14,Yar,3,"10,30,5",Furuhata,59,Hamada,6,Yazima,-22,Miura,-43
2025/12/14,Yar,4,"10,30,5",Miura,64,Yazima,18,Hamada,-31,Furuhata,-51
